refcode,status,error,full_atom_count,reference_asymmetric_atom_count,reduced_atom_count,reexpanded_atom_count,detected_space_group,detected_hall_number,detected_symmetry_operation_count,pdd_to_full,pdd_to_t1_expansion,max_site_displacement_to_full_angstrom,max_site_displacement_to_t1_expansion_angstrom
CEXVAF,ok,,88,22,22,88,P 2_1/c,81,1,0,1.8571003321e-15,0,2.66663080506e-16
CHPDTP,ok,,80,20,20,80,P 2_1/c,81,1,0,2.62012633812e-15,0,2.07236450223e-15
CHPYRD,ok,,48,12,12,48,P 2_1/c,81,1,0,2.29446091756e-15,0,1.48121216402e-15
CHTDZO,ok,,56,14,14,56,P 2_1/c,81,1,0,2.60109394341e-15,0,3.03511980636e-15
CHXIQL,ok,,72,18,18,72,P 2_1/c,81,1,0,2.51650552248e-15,0,3.25761639886e-15
CICVEQ,ok,,84,21,21,84,P 2_1/c,81,1,0,1.86094526032e-15,0,6.35846930663e-16
CIGYIA,ok,,80,10,10,80,P bca,290,3,0,1.95399252334e-15,0,0
CIJNEO,ok,,62,31,31,62,P 2_1,6,1,0,2.07719146543e-15,0,1.40209005059e-15
CIKBOO,ok,,136,34,34,136,P 2_1/c,81,1,0,2.6906581538e-15,0,3.34310357175e-15
CIKBUU,ok,,72,72,36,72,P -1,2,0,0,1.94905819879e-15,0,2.61009304333e-15
CIMHUB,ok,,76,38,38,76,P -1,2,0,0,2.27303556094e-15,0,2.16193729585e-15
CIPWOO,ok,,38,19,19,38,P -1,2,0,0,2.43080409602e-15,0,2.29403163132e-15
CIPZIL,ok,,36,18,9,36,P 2_1/c,81,1,1.48029736617e-15,1.97372982156e-15,0,6.64490684699e-16
CIRXAF,ok,,96,24,24,96,P 2_1/c,81,1,0,1.62832710278e-15,0,2.79504197565e-16
CIWBAL10,ok,,60,15,15,60,P 2_1/c,81,1,0,1.83556873405e-15,0,4.31876756579e-16
CIYNED01,ok,,80,20,20,80,P 2_12_12_1,115,3,1.68753899743e-15,1.99840144433e-15,0,0
CLACET02,ok,,32,8,8,32,P 2_1/c,81,1,0,1.66533453694e-15,0,5.14588371914e-16
CLANAC11,ok,,28,14,7,28,P 2_1/c,81,1,1.14194368247e-15,1.39570894524e-15,0,7.84143583399e-17
CLAZBZ02,ok,,48,24,12,48,P 2_1/c,81,1,1.55431223448e-15,1.7763568394e-15,0,6.77673195337e-17
CLBECN03,ok,,52,13,13,52,P 2_1/c,81,1,1.7763568394e-15,2.9378209267e-15,0,2.86586310239e-15
CLBENQ,ok,,48,12,12,48,P 2_12_12_1,115,3,1.48029736617e-15,1.70234197109e-15,0,0
CLBZAC01,ok,,120,15,15,120,C 2/c,90,1,0,4.4408920985e-15,0,5.28732613247e-15
CLCROT10,ok,,36,9,9,36,P 2_1/c,81,1,0,2.07241631263e-15,0,5.46229728116e-16
CLFORM03,ok,,20,5,4,20,P nma,292,3,1.59872115546e-15,1.95399252334e-15,0,0
CLFULV01,ok,,72,18,9,72,C 2/c,90,1,1.97372982156e-15,2.76322175018e-15,0,3.33022498467e-15
CLMETH03,ok,,20,6,4,20,C mc2_1,176,3,1.42108547152e-15,2.13162820728e-15,0,4.93038065763e-32
CLPSUL02,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
CLTRZL,ok,,32,8,8,32,P ca2_1,143,3,8.881784197e-16,1.55431223448e-15,0,0
COBFUU,ok,,42,21,21,42,P -1,2,0,0,1.56488578709e-15,0,6.23279206025e-16
COHSAV,ok,,96,24,24,96,P 2_1/c,81,1,0,2.22044604925e-15,0,9.35029831339e-16
COLGAO,ok,,50,25,25,50,P -1,2,0,0,2.22044604925e-15,0,1.70841119029e-15
COMFRN,ok,,68,17,17,68,P 2_1/c,81,1,0,1.98533999698e-15,0,5.6221693967e-16
CONFAM,ok,,40,10,10,40,P 2_1/c,81,1,0,2.30926389122e-15,0,4.59521309892e-16
CONVIL01,ok,,60,15,15,60,P na2_1,164,3,0,1.48029736617e-15,0,0
CORDUI,ok,,22,11,11,22,P -1,2,0,0,4.4408920985e-16,0,2.86548562656e-16
CORYOZ,ok,,64,16,16,64,P 2_1/c,81,1,0,1.94289029309e-15,0,8.22297785419e-16
CORZIT,ok,,44,22,22,44,P -1,2,0,0,2.13970255655e-15,0,2.14174474281e-15
COSNAZ,ok,,88,22,22,88,P 2_1/c,81,1,0,1.8571003321e-15,0,5.89084336866e-16
COTFEX,ok,,52,26,26,52,P -1,2,0,0,2.1862853408e-15,0,1.64950275661e-15
COUMAR01,ok,,68,17,17,68,P ca2_1,143,3,1.72411105001e-15,1.8024797341e-15,0,0
COUMAR13,ok,,34,17,17,34,P 2_1,6,1,0,1.88084841819e-15,0,2.20908846771e-16
COUMAR14,ok,,136,34,34,136,P 2_12_12_1,115,3,2.25793368969e-08,1.88084841819e-15,2.90149090998e-08,0
COVJIG,ok,,60,15,15,60,P 2_1/c,81,1,0,3.43428988951e-15,0,2.72257943436e-15
COWTIT,ok,,84,21,21,84,P 2_1/c,81,1,0,2.53765262771e-15,0,1.52033940992e-15
COXGAX,ok,,80,20,20,80,P 2_1/c,81,1,0,1.53210777398e-15,0,8.22050760796e-17
COXKAE,ok,,272,34,34,272,P bca,290,3,1.67186526061e-15,1.78941828675e-15,0,0
COZXAT,ok,,56,28,28,56,P 2_1,6,1,0,1.3005469717e-15,0,5.32612842719e-16
CRYSEN,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
CTCDEC,ok,,100,25,25,100,P 2_1/c,81,1,0,2.29150032283e-15,0,2.65175866228e-15
CTHDZO,ok,,36,9,9,36,P 2_1/c,81,1,0,2.46716227694e-15,0,8.82671713498e-16
CTHETO,ok,,48,12,9,48,P nma,292,3,1.48029736617e-15,1.70234197109e-15,0,0
CUBANE,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
CUBTEB,ok,,232,29,29,232,P bca,290,3,1.5160286819e-15,1.86823736558e-15,0,0
CUGCUF,ok,,120,30,30,120,P 2_1/c,81,1,0,2.60532336445e-15,0,4.5093849888e-15
CUKCIU03,ok,,28,14,7,28,P 2_1/c,81,1,1.26882631386e-15,1.7763568394e-15,0,3.14137604818e-16
CUVWEV,ok,,76,19,19,76,P na2_1,164,3,1.70623749048e-15,1.82310307202e-15,0,0
CUXXAW,ok,,104,26,26,104,P 2_12_12_1,115,3,1.366428338e-15,1.7080354225e-15,0,0
CUZXOK,ok,,80,20,20,80,P 2_1/c,81,1,1.68753899743e-15,1.82076576039e-15,0,0
CYACAC02,ok,,36,10,8,36,P nma,292,3,3.94745964311e-16,1.97372982156e-15,0,0
CYCYPR,ok,,72,12,4,72,R 3c,452,5,5.34725463908e-08,1.99840144433e-15,6.61184647954e-08,0
CYHEXO,ok,,32,16,16,32,P 2_1,6,1,0,1.72084568817e-15,0,3.69149155688e-16
CYTCOD10,ok,,68,17,17,68,P 2_12_12_1,115,3,1.56737368182e-15,1.82860262879e-15,0,0
DACXIQ,ok,,120,30,30,120,P 2_1/c,81,1,0,1.42108547152e-15,0,3.76318420869e-16
DAHXAO,ok,,112,28,28,112,P 2_12_12_1,115,3,1.14194368247e-15,1.55431223448e-15,0,0
DAMTRZ11,ok,,48,12,12,48,P 2_1/c,81,1,0,2.07241631263e-15,0,1.21253386183e-15
DAQNEP,ok,,80,20,20,80,P 2_1/c,81,1,0,1.95399252334e-15,0,9.79216707719e-16
DASKAK01,ok,,100,25,25,100,P 2_1/c,81,1,0,1.72306613422e-15,0,4.83446616073e-16
DASWOM,ok,,46,23,23,46,P -1,2,0,0,1.60258280076e-15,0,8.61066773439e-16
DATLAN,ok,,22,11,11,22,P 2_1,6,1,0,2.0185873175e-15,0,4.26325641456e-16
DATLER,ok,,22,11,11,22,P -1,2,0,0,1.9378438248e-15,0,1.45816692054e-15
DAYFIV,ok,,52,13,13,52,P 2_1/c,81,1,0,1.9129996732e-15,0,4.28690416499e-16
DAZNAP,ok,,128,16,16,128,P bca,290,3,1.49880108324e-15,1.7763568394e-15,0,0
DAZNAQ,ok,,64,16,16,64,P 2_1/c,81,1,0,1.33226762955e-15,0,3.66595642731e-16
DAZNAR,ok,,128,16,16,128,P 4_12_12,369,7,1.22124532709e-15,1.7763568394e-15,0,0
DBTHPS04,ok,,92,23,12,92,C 2/c,90,1,1.62189102728e-15,2.43283654092e-15,0,6.03855020422e-18
DCDHNQ,ok,,80,20,20,80,P 2_1/c,81,1,0,1.79856129989e-15,0,6.43041175863e-16
DCDHNQ01,ok,,80,20,20,80,P 2_1/c,81,1,0,2.35367281221e-15,0,1.56652468775e-15
DCLANT10,ok,,96,24,24,96,P 2_1/c,81,1,0,2.70154269325e-15,0,9.5623509111e-16
DCLBQN,ok,,48,12,12,48,P 2_1/c,81,1,0,2.29446091756e-15,0,5.02986541306e-16
DCLETH02,ok,,16,8,4,16,P 2_1/c,81,1,1.33226762955e-15,1.7763568394e-15,0,5.35016475567e-16
DCPYAZ,ok,,40,10,10,40,P 2_1/c,81,1,0,2.22044604925e-15,0,1.64313007645e-15
DECPYR10,ok,,104,26,26,104,P 2_1/c,81,1,0,1.93008002743e-15,0,2.97845081931e-16
DECZEQ,ok,,84,21,21,84,P 2_1/c,81,1,0,2.28388736494e-15,0,1.52597013906e-15
DEGWAQ,ok,,88,22,22,88,P 2_1/c,81,1,0,1.9378438248e-15,0,3.20021786848e-16
DERBEH,error,ValueError: PDD comparison requires matching element counts in the explicit unit cell.,,,,,,,,,,,
DEWYOV,ok,,224,28,28,224,P bca,290,3,0,1.90323947079e-15,0,0
DEXBEN01,ok,,52,26,26,52,P 2_1,6,1,0,2.44249065418e-15,0,1.95855848986e-15
DFNAPQ,ok,,36,18,18,36,P -1,2,0,0,2.41781903141e-15,0,1.85641986204e-15
DFPSLO,ok,,100,25,25,100,P 2_1/c,81,1,0,2.20268248086e-15,0,2.22109633407e-15
DIMNAP,ok,,96,24,24,96,P 2_1/c,81,1,0,1.60982338571e-15,0,6.86117829218e-16
DIMYON10,ok,,26,13,13,26,P 2_1,6,1,0,1.7763568394e-15,0,0
DIRMIA,ok,,22,11,11,22,P -1,2,0,0,2.1800743029e-15,0,7.77648414548e-16
DITFIX,ok,,152,38,38,152,P 2_1/c,81,1,0,2.33731163079e-15,0,1.80953429466e-15
DITHAN02,ok,,28,14,7,28,P 2_1/c,81,1,1.01506105109e-15,1.39570894524e-15,0,1.87427851017e-16
DIZVOZ,ok,,36,18,18,36,P -1,2,0,0,2.26978929479e-15,0,8.56914539327e-16
DMCTDZ,ok,,36,9,9,36,P 2_1/c,81,1,0,1.97372982156e-15,0,6.91113832829e-16
DMDZCD,ok,,64,32,32,64,P -1,2,0,0,1.949829187e-15,0,4.27125002034e-15
DMEGLY01,ok,,16,16,8,16,P -1,2,0,0,4.55191440096e-15,0,1.99588806743e-15
DMETSO,ok,,40,10,10,40,P 2_1/c,81,1,0,2.6645352591e-15,0,1.30842320544e-15
DMETSO05,ok,,20,10,10,20,P -1,2,0,0,0,0,0
DMITDZ,ok,,68,17,17,68,P 2_1/c,81,1,0,2.45555210152e-15,0,1.7613371401e-15
DMSULO04,ok,,44,11,5,44,C mcm,298,3,1.3726393759e-15,2.1800743029e-15,0,9.86076131526e-32
DNBENZ11,ok,,64,16,16,64,P na2_1,164,3,9.43689570931e-16,1.44328993201e-15,0,0
DOHGOW,ok,,48,12,12,48,P 2_1/c,81,1,0,2.88657986403e-15,0,1.85418347343e-15
DOJFAL,ok,,80,20,20,80,P ca2_1,143,3,1.68753899743e-15,1.99840144433e-15,0,0
DOKVIJ,ok,,80,20,20,80,P 2_1/c,81,1,0,2.0872192863e-15,0,2.91439095079e-16
DOKWUW,ok,,64,16,16,64,P 2_1/c,81,1,0,2.58126853225e-15,0,3.42235129125e-15
DOQQEH,ok,,112,14,14,112,C 2/c,90,1,1.7763568394e-15,3.67959631019e-15,0,3.84751926786e-15
DOSZUG,ok,,60,15,15,60,C c,39,1,1.18423789293e-15,2.25005199657e-15,0,1.63979940737e-15
DOXDIS10,ok,,32,8,8,32,P 2_1/c,81,1,0,2.10942374679e-15,0,7.00883795446e-16
DOXJAD,ok,,80,20,20,80,C c,39,1,1.59872115546e-15,1.99840144433e-15,0,1.0594858324e-15
DSCARA01,ok,,28,14,14,28,P -1,2,0,0,2.28388736494e-15,0,1.76219039361e-15
DTENYL02,ok,,32,16,8,32,P 2_1/c,81,1,1.22124532709e-15,1.55431223448e-15,0,4.29323243623e-16
DUBPUO,ok,,128,32,32,128,P 2_12_12_1,115,3,1.19348975147e-15,1.60982338571e-15,0,0
DUCSUQ,ok,,44,11,11,44,P 2_1/c,81,1,0,2.0993308102e-15,0,6.14930328879e-16
DUCTAZ,ok,,92,23,23,92,P 2_1/c,81,1,0,2.58730235304e-15,0,2.223526445e-15
DUJGIZ,ok,,56,14,13,56,P nma,292,3,2.53765262771e-16,1.58603289232e-15,0,0
DUJHEV,ok,,72,18,18,72,P 2_1/c,81,1,0,2.17110280371e-15,0,2.39586128714e-15
DUJQEF,ok,,44,11,6,44,C 2/c,90,1,1.614869854e-15,2.9067657372e-15,0,9.70890035035e-16
DUTREQ,ok,,60,15,15,60,P 2_1/c,81,1,0,1.56911520814e-15,0,4.05420141902e-16
DUTZEY,ok,,26,13,13,26,P -1,2,0,0,1.74219613095e-15,0,1.07507336367e-15
EDOMUI,ok,,42,21,21,42,P -1,2,0,0,2.81256499572e-15,0,2.58137608657e-15
EGIRUJ,ok,,88,22,22,88,P 2_1/c,81,1,0,1.73598509305e-15,0,5.01321206769e-16
ELOBOW,ok,,112,28,28,112,P 2_12_12_1,115,3,1.11022302463e-15,1.55431223448e-15,0,0
ELULIH,ok,,176,22,22,176,C 2/c,90,1,1.614869854e-15,1.97821557115e-15,0,6.05654415509e-16
EPAHEJ,ok,,56,14,14,56,P 2_1/c,81,1,0,1.87151881294e-15,0,1.38535849459e-15
EQIREE,ok,,92,23,23,92,P 2_1/c,81,1,0,2.39422008789e-15,0,3.21294102434e-15
EREFEP,ok,,48,12,12,48,C c,39,1,1.55431223448e-15,2.1834386151e-15,0,1.40458755737e-15
ETIFAP,ok,,104,52,26,104,C 2,9,1,1.33226762955e-15,1.74219613095e-15,0,5.76150238629e-16
EVIGIZ,ok,,76,19,19,76,P 2_1/c,81,1,1.68286437417e-15,2.75802772433e-15,0,2.53188961682e-15
EVOQEL,ok,,60,15,15,60,P 2_1/c,81,1,1.30266168223e-15,1.71714494475e-15,0,4.17665901864e-16
EWAZEK,ok,,34,17,17,34,P -1,2,0,0,2.82127262728e-15,0,1.7651500665e-15
EWUZAZ,ok,,52,13,13,52,P 2_1/c,81,1,0,2.5278924253e-15,0,3.0856244728e-15
EXIQOS,ok,,56,14,14,56,P 2_1/c,81,1,0,2.15700473356e-15,0,2.57665000447e-15
EYAVEF,ok,,104,26,26,104,P 2_1/c,81,1,1.1614640873e-15,2.56205313375e-15,0,3.19411164185e-15
FABPON11,ok,,144,18,18,144,P bca,290,3,1.7763568394e-15,2.02307306709e-15,0,0
FACETC01,ok,,32,8,8,32,P 2_1/c,81,1,0,1.44328993201e-15,0,4.69402294812e-16
FACFOE,ok,,48,12,12,48,P 2_1/c,81,1,1.55431223448e-15,1.92438657602e-15,0,4.15256717901e-16
FADBEU,ok,,100,25,25,100,P 2_12_12_1,115,3,1.31450406116e-15,1.61648472385e-15,0,0
FANJOT,ok,,64,16,16,64,P 2_1/c,81,1,0,2.33146835171e-15,0,1.60361396011e-15
FANJOT01,ok,,64,16,16,64,P 2_1/c,81,1,1.11022302463e-15,1.60982338571e-15,0,4.46986891944e-16
FARMIW,ok,,60,15,15,60,P 2_1/c,81,1,0,1.89478062869e-15,0,3.42083132654e-18
FAVTAX,ok,,88,22,22,88,P 2_1/c,81,1,0,2.0185873175e-15,0,6.6047167735e-16
FBUOFB,ok,,20,10,5,20,P 2_1/c,81,1,1.7763568394e-15,2.30926389122e-15,0,1.73789480143e-15
FEBROU,ok,,108,27,27,108,P 2_1/c,81,1,0,1.99017757007e-15,0,3.44368977778e-15
FEDKIJ,ok,,76,19,19,76,P 2_1/c,81,1,0,2.10358046771e-15,0,1.08571485136e-16
FELPIV,ok,,40,10,10,40,P 2_1/c,81,1,0,2.6645352591e-15,0,8.41327008061e-16
FEMKUD,ok,,76,19,19,76,P na2_1,164,3,1.86984930463e-15,2.01008800248e-15,0,0
FEQYAC,ok,,38,19,19,38,P -1,2,0,0,1.79972995571e-15,0,2.29416485809e-15
FERFOZ,ok,,28,14,7,28,P 2_1/c,81,1,1.52259157663e-15,1.64947420801e-15,0,9.14573972111e-17
FICFON,ok,,192,24,24,192,P bca,290,3,0,1.7763568394e-15,0,0
FIQTIJ,ok,,76,19,19,76,P 2_1/c,81,1,0,1.86984930463e-15,0,9.10838071633e-16
FIRLAU,ok,,80,10,10,80,P bca,290,3,1.46549439251e-15,1.86517468137e-15,0,0
FITZEO01,ok,,104,26,26,104,P 2_1/c,81,1,0,2.4595710084e-15,0,2.16661389918e-15
FIWFOH01,ok,,76,19,19,76,P 2_1/c,81,1,0,2.15032670033e-15,0,1.82254211722e-15
FLUANA,ok,,28,14,7,28,P 2_1/c,81,1,1.26882631386e-15,2.15700473356e-15,0,8.9276393676e-16
FOCJOZ,ok,,50,25,25,50,P 2_1,6,1,0,2.45137243837e-15,0,1.67744603709e-15
FOHXUV,ok,,40,10,10,40,P 2_1/c,81,1,0,2.22044604925e-15,0,6.49702514011e-16
FOMWAF,ok,,52,13,10,52,P nma,292,3,1.1614640873e-15,1.7763568394e-15,0,0
FOQJIH,ok,,108,27,27,108,P 2_1/c,81,1,0,2.73032625315e-15,0,3.37103678305e-15
FORAMO01,ok,,32,8,8,32,P 2_12_12_1,115,3,8.881784197e-16,1.22124532709e-15,0,0
FORMAC02,ok,,20,5,5,20,P na2_1,164,3,1.59872115546e-15,1.7763568394e-15,0,0
FORROU,ok,,56,14,14,56,P 2_1/c,81,1,0,1.52259157663e-15,0,4.33741931261e-16
FOXWEW,ok,,92,23,23,92,P 2_1/c,81,1,0,1.87289797198e-15,0,4.24926760445e-16
FUDTUV,ok,,84,21,21,84,P na2_1,164,3,1.7763568394e-15,1.90323947079e-15,0,0
FULPIM,ok,,48,12,12,48,P 2_12_12_1,115,3,0,1.70234197109e-15,0,4.93038065763e-32
FUMRAM01,ok,,26,13,13,26,P 2_1,6,1,0,1.5030711718e-15,0,4.08950651121e-16
FUNFEA,ok,,68,17,17,68,P 2_1/c,81,1,0,1.8024797341e-15,0,2.08558170733e-16
FURANE10,ok,,36,9,5,36,P 4_12_12,369,7,1.38161087509e-15,1.7763568394e-15,0,0
FURDCB01,ok,,60,15,15,60,P 2_1/c,81,1,0,1.53950926081e-15,0,1.33382194178e-15
FUZNAQ,ok,,68,17,17,68,P 2_1/c,81,1,0,2.82127262728e-15,0,1.98809513232e-15
FUZZAB,ok,,64,16,16,64,P ca2_1,143,3,1.05471187339e-15,1.33226762955e-15,0,0
GADHAU,ok,,36,9,9,36,P 2_1/c,81,1,0,2.76322175018e-15,0,1.42352796217e-15
GANBEF,ok,,184,23,23,184,C 2/c,90,1,1.56396634773e-15,3.28239850759e-15,0,3.88185938356e-15
GAPPIY,ok,,48,12,12,48,P 2_1/c,81,1,0,2.36847578587e-15,0,1.41673339726e-15
GAXKAU,ok,,52,26,26,52,P -1,2,0,0,3.2111065943e-15,0,2.76727774511e-15
GEHSIW,ok,,76,19,19,76,P 2_1/c,81,1,0,2.50092344495e-15,0,1.18827599311e-15
GEMRIB,ok,,176,22,22,176,P bca,290,3,1.73598509305e-15,1.97821557115e-15,0,0
GETVEH,ok,,44,11,11,44,P 2_1/c,81,1,0,2.6645352591e-15,0,1.21669341269e-15
GEYSEI,ok,,72,18,18,72,P ca2_1,143,3,1.72701359386e-15,1.7763568394e-15,0,0
GIJBUX,ok,,76,19,19,76,P 2_1/c,81,1,0,1.75298372309e-15,0,4.47553105687e-16
GIKSUQ,ok,,80,20,20,80,P 2_1/c,81,1,0,2.975397706e-15,0,3.0856650568e-15
GISXEM,ok,,64,16,16,64,P 2_1/c,81,1,0,1.49880108324e-15,0,3.07125158638e-16
GISZIS,ok,,60,15,15,60,P 2_1/c,81,1,0,1.53950926081e-15,0,4.17554879562e-16
GOCPEW,ok,,96,24,24,96,P 2_1/c,81,1,0,2.05391259556e-15,0,7.35123073525e-16
GOFQEY,ok,,48,12,6,48,P bca,290,3,1.62832710278e-15,1.92438657602e-15,0,0
GOLCOB,ok,,76,19,19,76,P 2_1/c,81,1,0,1.65949125786e-15,0,5.00266494896e-16
GOLYAI,ok,,64,16,16,64,P 2_1/c,81,1,0,2.94209101526e-15,0,2.3404293414e-15
GOMCIU,ok,,76,19,19,76,P 2_1/c,81,1,0,2.19707293294e-15,0,6.30855072436e-16
GOQJUU,ok,,80,20,20,80,P 2_1/c,81,1,0,2.30926389122e-15,0,1.73161485151e-15
GOSJEG,ok,,88,22,22,88,P 2_1/c,81,1,0,1.89747207845e-15,0,1.38012865025e-16
GOTJUW,ok,,60,15,15,60,P 2_1/c,81,1,0,2.60532336445e-15,0,3.24964127484e-15
GOWPUG,ok,,104,26,26,104,P 2_1/c,81,1,0,2.35708888305e-15,0,2.98738811466e-15
GOZXIF,ok,,72,18,18,72,P 2_12_12_1,115,3,0,1.87504333048e-15,0,0
GUFJAS,ok,,52,13,13,52,P 2_1/c,81,1,0,2.1179639239e-15,0,1.67306136024e-15
GUFJIA,ok,,36,18,18,36,P -1,2,0,0,2.31913254033e-15,0,1.68622893426e-15
GUFMAV,ok,,28,14,7,28,P 2_1/c,81,1,1.39570894524e-15,1.90323947079e-15,0,1.13682000913e-15
GUJLAZ,ok,,60,15,15,60,P 2_1/c,81,1,0,2.25005199657e-15,0,1.288960512e-15
GUJZER,ok,,68,17,17,68,P 2_1/c,81,1,0,1.7763568394e-15,0,0
GULDIB,ok,,120,30,30,120,P 2_12_12_1,115,3,0,1.65793305011e-15,0,0
GUMFUS,ok,,72,36,36,72,P -1,2,0,0,2.36847578587e-15,0,2.10786181904e-15
GUNYIY,ok,,100,25,25,100,P 2_1/c,81,1,0,2.34479102801e-15,0,1.33552941584e-15
GUZKAQ,ok,,80,20,20,80,P 2_1/c,81,1,0,2.22044604925e-15,0,2.84254841887e-15
HABVIQ,ok,,108,27,27,108,P 2_1/c,81,1,1.25002888699e-15,1.43095412063e-15,0,3.14442916149e-16
HACMUT,ok,,56,14,14,56,P 2_1/c,81,1,0,1.3639882874e-15,0,5.51791945469e-16
HAKPIW,ok,,100,25,25,100,P 2_12_12_1,115,3,1.03028696685e-15,1.38555833473e-15,0,0
HCCYHD,ok,,72,18,18,72,P 2_1/c,81,1,0,1.82570008494e-15,0,5.34516875206e-16
HCCYHG02,ok,,72,18,18,72,P 2_1/c,81,1,0,2.41781903141e-15,0,1.70984397977e-15
HCLBNZ13,ok,,24,12,6,24,P 2_1/c,81,1,1.7763568394e-15,2.6645352591e-15,0,1.82150163627e-15
HCLTRL,ok,,44,22,22,44,P -1,2,0,0,2.94713748355e-15,0,1.56130305024e-15
HCZCHP,ok,,64,16,16,64,P 2_1/c,81,1,0,1.66533453694e-15,0,6.86006806916e-16
HESDUE,ok,,80,40,20,80,P 2_1/c,81,1,1.66533453694e-15,1.82076576039e-15,0,2.37809771875e-16
HESTUV,ok,,84,21,21,84,P 2_1/c,81,1,0,2.49535841725e-15,0,3.92974541796e-15
HEVZAL,ok,,50,25,25,50,P -1,2,0,0,2.27373675443e-15,0,1.20148335725e-15
HEXANE01,ok,,20,20,10,20,P -1,2,0,0,2.30926389122e-15,0,1.28728088731e-15
HIFCIJ,ok,,160,20,20,160,P bca,290,3,1.7763568394e-15,1.82076576039e-15,0,0
HIGKOY,ok,,60,15,14,60,P nma,292,3,2.36847578587e-16,1.65793305011e-15,0,0
HIHNIV,ok,,60,15,15,60,P 2_1/c,81,1,0,1.53950926081e-15,0,8.33999536098e-16
HIHNIV01,ok,,60,15,15,60,P 2_1/c,81,1,0,1.7763568394e-15,0,8.32889313074e-16
HIMRIH,ok,,40,10,5,40,C 2/c,90,1,2.13162820728e-15,2.6645352591e-15,0,3.40125605632e-16
HOFHEQ,ok,,56,14,14,56,P 2_1/c,81,1,0,1.58603289232e-15,0,2.06532013713e-16
HOJZUB,ok,,56,14,14,56,P 2_1/c,81,1,9.51619735393e-16,1.64947420801e-15,0,8.23896506574e-16
HOLTOS,ok,,60,15,15,60,P 2_1/c,81,1,0,1.65793305011e-15,0,6.39621688947e-16
HOMSAN,ok,,84,21,21,84,P 2_12_12_1,115,3,1.7763568394e-15,1.7763568394e-15,0,0
HTDZDX10,ok,,60,15,15,60,P 2_1/c,81,1,0,2.13162820728e-15,0,1.57554322243e-15
HTIEPO,ok,,68,17,17,68,P 2_1/c,81,1,0,2.24656894395e-15,0,2.53463916522e-15
HUCDIU,ok,,28,14,14,28,P c,21,1,0,2.15700473356e-15,0,1.47120942354e-15
HUGQOQ,ok,,56,14,14,56,P 2_1/c,81,1,0,1.26882631386e-15,0,9.08995101412e-17
HXMTAM10,ok,,44,22,3,44,I -43m,513,23,2.5030482737e-15,1.7763568394e-15,0,1.74315279842e-32
HXQUIN14,ok,,72,18,18,72,P 2_1/c,81,1,0,2.31913254033e-15,0,1.42408620039e-15
HYTHIO,ok,,52,13,13,52,P 2_1/c,81,1,0,1.46891046335e-15,0,6.10622663544e-16
IBUZIP,ok,,88,22,22,88,P 2_1/c,81,1,1.73598509305e-15,2.30118954195e-15,0,4.33597602267e-16
IDAHUR,ok,,56,14,14,56,P ca2_1,143,3,0,1.64947420801e-15,0,0
IFESUH,ok,,64,16,16,64,P 2_1/c,81,1,0,1.83186799063e-15,0,4.55602222615e-16
IFETAO,ok,,64,16,16,64,P 2_1/c,81,1,0,1.60982338571e-15,0,5.61173330027e-16
IFETES,ok,,64,16,16,64,P ca2_1,143,3,0,1.38777878078e-15,0,0
IFEVAQ,ok,,92,23,23,92,P 2_1/c,81,1,0,2.0273637841e-15,0,8.19122547568e-16
IFOVOR,ok,,80,20,20,80,P 2_12_12_1,115,3,0,1.95399252334e-15,0,0
IFUWIR,ok,,40,10,10,40,P 2_12_12_1,115,3,0,1.7763568394e-15,0,0
IGAJIK,ok,,100,25,25,100,P 2_1/c,81,1,0,1.82964754458e-15,0,1.14663833983e-15
IGAMEK,ok,,26,13,13,26,P 2_1/m,60,1,0,1.9813210901e-15,0,8.30824298248e-16
IGINUI,ok,,76,19,19,76,P 2_1/c,81,1,0,2.57104279387e-15,0,1.4056977804e-15
IHERES,ok,,10,5,5,10,P 2_1,6,1,0,1.95399252334e-15,0,1.1739914596e-17
IHULUS,ok,,76,19,19,76,P 2_1/c,81,1,1.7763568394e-15,1.7763568394e-15,0,2.57321941532e-16
IJEPEU,ok,,116,29,29,116,P 2_1/c,81,1,0,1.50071526087e-15,0,4.41513492433e-16
IJESIC,ok,,48,12,12,48,P 2_1/c,81,1,0,2.44249065418e-15,0,9.83708551361e-16
IJIYAD,ok,,108,27,27,108,P 2_1/c,81,1,0,2.94414698382e-15,0,3.83098988252e-15
IKAYEZ,ok,,60,15,15,60,P 2_1/c,81,1,0,1.62832710278e-15,0,8.07898192789e-16
IKESIC,ok,,64,16,16,64,P 2_1/c,81,1,0,1.94289029309e-15,0,1.50897072615e-15
IKIGEO,ok,,60,15,15,60,P 2_1/c,81,1,1.12502599829e-15,2.01320441799e-15,0,3.12749826037e-15
ILAMOZ,ok,,56,14,14,56,P na2_1,164,3,0,1.58603289232e-15,0,0
ILAMUF,ok,,56,14,14,56,P 2_1/c,81,1,0,1.90323947079e-15,0,4.25093293899e-16
ILANAM,ok,,28,14,14,28,P -1,2,0,0,2.12528407571e-15,0,2.28450591777e-15
