refcode,status,error,full_atom_count,reference_asymmetric_atom_count,reduced_atom_count,reexpanded_atom_count,detected_space_group,detected_hall_number,detected_symmetry_operation_count,pdd_to_full,pdd_to_t1_expansion,max_site_displacement_to_full_angstrom,max_site_displacement_to_t1_expansion_angstrom
AMNIFL,ok,,108,27,27,108,P 2_1/c,81,1,0,1.94083432453e-15,0,2.39031017202e-15
AMNPHA,ok,,68,17,17,68,P 2_1/c,81,1,0,1.98533999698e-15,0,1.88515869581e-15
AMNTPY,ok,,60,15,15,60,P 2_1/c,81,1,0,2.13162820728e-15,0,3.21365156708e-15
AMPHOL01,ok,,60,15,15,60,P na2_1,164,3,1.18423789293e-15,1.42108547152e-15,0,0
AMPYRE,ok,,52,13,13,52,P 2_12_12_1,115,3,1.0248212535e-15,1.5713925887e-15,0,0
AMPYRM11,ok,,96,12,12,96,P bca,290,3,1.7763568394e-15,1.7763568394e-15,0,0
AMTHTZ,ok,,32,8,8,32,P 2_1/c,81,1,0,1.55431223448e-15,0,4.19664303308e-16
AMUVEL,ok,,176,22,22,176,P bca,290,3,1.7763568394e-15,1.8571003321e-15,0,0
ANLINT20,ok,,64,16,16,64,P 2_1/c,81,1,0,2.38697950294e-15,0,2.11069826746e-15
ANTCEN16,ok,,48,24,12,48,P 2_1/c,81,1,1.33226762955e-15,2.44249065418e-15,0,1.38217674616e-15
ANTZOL10,ok,,88,22,22,88,P 2_1/c,81,1,0,2.54342002005e-15,0,1.29007915461e-15
APATER,ok,,40,20,20,40,P -1,2,0,0,2.39808173319e-15,0,1.60382818137e-15
APINIY,ok,,58,29,29,58,P -1,2,0,0,2.48077420675e-15,0,2.2665743052e-15
APMCOX,ok,,56,14,14,56,P 2_1/c,81,1,0,1.90323947079e-15,0,4.18554080284e-16
APOXOS01,ok,,104,26,26,104,P 2_1/c,81,1,0,1.67387471405e-15,0,3.52190498987e-16
APUHOJ,ok,,112,28,28,112,P 2_12_12_1,115,3,9.83340393239e-16,1.52259157663e-15,0,0
APUREK,ok,,64,16,16,64,P 2_1/c,81,1,0,1.60982338571e-15,0,6.01568794778e-16
APYRCX,ok,,60,15,15,60,P 2_1/c,81,1,0,1.53950926081e-15,0,0
AQEZUR,ok,,96,24,24,96,P 2_1/c,81,1,1.62832710278e-15,1.81336427355e-15,0,5.1756376962e-16
AQIGOW,ok,,88,22,22,88,P 2_12_12_1,115,3,1.5341263613e-15,1.89747207845e-15,0,0
AQIGUC,ok,,120,30,30,120,P 2_12_12_1,115,3,8.881784197e-16,1.56911520814e-15,0,0
