refcode,output
BIGUAN01,BIGUAN01.cif
BIJVEY,BIJVEY.cif
BIKCII,BIKCII.cif
BILHOV,BILHOV.cif
BIPTID01,BIPTID01.cif
BIPYRL04,BIPYRL04.cif
BIRQOL,BIRQOL.cif
BIRYIM,BIRYIM.cif
BITVUV,BITVUV.cif
BIXJAU,BIXJAU.cif
BIZQEJ,BIZQEJ.cif
BNORBN11,BNORBN11.cif
BNZQUI03,BNZQUI03.cif
BODCOM,BODCOM.cif
BOMSED,BOMSED.cif
BONNEA,BONNEA.cif
BONVOS,BONVOS.cif
BONWAE,BONWAE.cif
BOPHUJ,BOPHUJ.cif
BOQSIJ,BOQSIJ.cif
BOTYIT,BOTYIT.cif
BOTZIU,BOTZIU.cif
BOTZOA,BOTZOA.cif
BOXQEK,BOXQEK.cif
BOXRUE,BOXRUE.cif
BOZFEC,BOZFEC.cif
BOZGED,BOZGED.cif
BUCNEU,BUCNEU.cif
BUDYEF,BUDYEF.cif
BUPQAE01,BUPQAE01.cif
BUPXOC,BUPXOC.cif
BURXAN,BURXAN.cif
BUTFUT,BUTFUT.cif
BUTSUL10,BUTSUL10.cif
BZDMAZ02,BZDMAZ02.cif
BZOXZT,BZOXZT.cif
BZPHAN01,BZPHAN01.cif
BZTIEP,BZTIEP.cif
BZTZAD,BZTZAD.cif
CABPYR11,CABPYR11.cif
CABYAG,CABYAG.cif
CACDOA,CACDOA.cif
CACTAD,CACTAD.cif
CAFKEZ,CAFKEZ.cif
CAFVAG,CAFVAG.cif
CAGJEC01,CAGJEC01.cif
CAJWUG02,CAJWUG02.cif
CAMPQU03,CAMPQU03.cif
CANAPQ01,CANAPQ01.cif
CANNUA,CANNUA.cif
CANRAM,CANRAM.cif
CANVAP,CANVAP.cif
CAPMSU,CAPMSU.cif
CASHOT03,CASHOT03.cif
CATXEC,CATXEC.cif
CAXNUL01,CAXNUL01.cif
CAXPAT,CAXPAT.cif
CAXPUN,CAXPUN.cif
CBITAZ,CBITAZ.cif
CDCDOX,CDCDOX.cif
CEBBIX,CEBBIX.cif
CEBDES,CEBDES.cif
CEBZIU,CEBZIU.cif
CECMOM,CECMOM.cif
CEFMUX,CEFMUX.cif
CEGPOV,CEGPOV.cif
CEHQEM,CEHQEM.cif
CEJMAF,CEJMAF.cif
CEKGUU01,CEKGUU01.cif
CELDUS,CELDUS.cif
CETLAQ,CETLAQ.cif
CEXVAF,CEXVAF.cif
CHPDTP,CHPDTP.cif
CHPYRD,CHPYRD.cif
CHTDZO,CHTDZO.cif
CHXIQL,CHXIQL.cif
CICVEQ,CICVEQ.cif
CIGYIA,CIGYIA.cif
CIJNEO,CIJNEO.cif
CIKBOO,CIKBOO.cif
CIKBUU,CIKBUU.cif
CIMHUB,CIMHUB.cif
CIPWOO,CIPWOO.cif
CIPZIL,CIPZIL.cif
CIRXAF,CIRXAF.cif
CIWBAL10,CIWBAL10.cif
CIYNED01,CIYNED01.cif
CLACET02,CLACET02.cif
CLANAC11,CLANAC11.cif
CLAZBZ02,CLAZBZ02.cif
CLBECN03,CLBECN03.cif
CLBENQ,CLBENQ.cif
CLBZAC01,CLBZAC01.cif
CLCROT10,CLCROT10.cif
CLFORM03,CLFORM03.cif
CLFULV01,CLFULV01.cif
CLMETH03,CLMETH03.cif
CLPSUL02,CLPSUL02.cif
CLTRZL,CLTRZL.cif
COBFUU,COBFUU.cif
COHSAV,COHSAV.cif
COLGAO,COLGAO.cif
COMFRN,COMFRN.cif
CONFAM,CONFAM.cif
CONVIL01,CONVIL01.cif
CORDUI,CORDUI.cif
CORYOZ,CORYOZ.cif
CORZIT,CORZIT.cif
COSNAZ,COSNAZ.cif
COTFEX,COTFEX.cif
COUMAR01,COUMAR01.cif
COUMAR13,COUMAR13.cif
COUMAR14,COUMAR14.cif
COVJIG,COVJIG.cif
COWTIT,COWTIT.cif
COXGAX,COXGAX.cif
COXKAE,COXKAE.cif
COZXAT,COZXAT.cif
CRYSEN,CRYSEN.cif
CTCDEC,CTCDEC.cif
CTHDZO,CTHDZO.cif
CTHETO,CTHETO.cif
CUBANE,CUBANE.cif
CUBTEB,CUBTEB.cif
CUGCUF,CUGCUF.cif
CUKCIU03,CUKCIU03.cif
CUVWEV,CUVWEV.cif
CUXXAW,CUXXAW.cif
CUZXOK,CUZXOK.cif
CYACAC02,CYACAC02.cif
CYCYPR,CYCYPR.cif
CYHEXO,CYHEXO.cif
CYTCOD10,CYTCOD10.cif
DACXIQ,DACXIQ.cif
DAHXAO,DAHXAO.cif
DAMTRZ11,DAMTRZ11.cif
DAQNEP,DAQNEP.cif
DASKAK01,DASKAK01.cif
DASWOM,DASWOM.cif
DATLAN,DATLAN.cif
DATLER,DATLER.cif
DAYFIV,DAYFIV.cif
DAZNAP,DAZNAP.cif
DAZNAQ,DAZNAQ.cif
DAZNAR,DAZNAR.cif
DBTHPS04,DBTHPS04.cif
DCDHNQ,DCDHNQ.cif
DCDHNQ01,DCDHNQ01.cif
DCLANT10,DCLANT10.cif
DCLBQN,DCLBQN.cif
DCLETH02,DCLETH02.cif
DCPYAZ,DCPYAZ.cif
DECPYR10,DECPYR10.cif
DECZEQ,DECZEQ.cif
DEGWAQ,DEGWAQ.cif
DERBEH,DERBEH.cif
DEWYOV,DEWYOV.cif
DEXBEN01,DEXBEN01.cif
DFNAPQ,DFNAPQ.cif
DFPSLO,DFPSLO.cif
DIMNAP,DIMNAP.cif
DIMYON10,DIMYON10.cif
DIRMIA,DIRMIA.cif
DITFIX,DITFIX.cif
DITHAN02,DITHAN02.cif
DIZVOZ,DIZVOZ.cif
DMCTDZ,DMCTDZ.cif
DMDZCD,DMDZCD.cif
DMEGLY01,DMEGLY01.cif
DMETSO,DMETSO.cif
DMETSO05,DMETSO05.cif
DMITDZ,DMITDZ.cif
DMSULO04,DMSULO04.cif
DNBENZ11,DNBENZ11.cif
DOHGOW,DOHGOW.cif
DOJFAL,DOJFAL.cif
DOKVIJ,DOKVIJ.cif
DOKWUW,DOKWUW.cif
DOQQEH,DOQQEH.cif
DOSZUG,DOSZUG.cif
DOXDIS10,DOXDIS10.cif
DOXJAD,DOXJAD.cif
DSCARA01,DSCARA01.cif
DTENYL02,DTENYL02.cif
DUBPUO,DUBPUO.cif
DUCSUQ,DUCSUQ.cif
DUCTAZ,DUCTAZ.cif
DUJGIZ,DUJGIZ.cif
DUJHEV,DUJHEV.cif
DUJQEF,DUJQEF.cif
DUTREQ,DUTREQ.cif
DUTZEY,DUTZEY.cif
EDOMUI,EDOMUI.cif
EGIRUJ,EGIRUJ.cif
ELOBOW,ELOBOW.cif
ELULIH,ELULIH.cif
EPAHEJ,EPAHEJ.cif
EQIREE,EQIREE.cif
EREFEP,EREFEP.cif
ETIFAP,ETIFAP.cif
EVIGIZ,EVIGIZ.cif
EVOQEL,EVOQEL.cif
EWAZEK,EWAZEK.cif
EWUZAZ,EWUZAZ.cif
EXIQOS,EXIQOS.cif
EYAVEF,EYAVEF.cif
FABPON11,FABPON11.cif
FACETC01,FACETC01.cif
FACFOE,FACFOE.cif
FADBEU,FADBEU.cif
FANJOT,FANJOT.cif
FANJOT01,FANJOT01.cif
FARMIW,FARMIW.cif
FAVTAX,FAVTAX.cif
FBUOFB,FBUOFB.cif
FEBROU,FEBROU.cif
FEDKIJ,FEDKIJ.cif
FELPIV,FELPIV.cif
FEMKUD,FEMKUD.cif
FEQYAC,FEQYAC.cif
FERFOZ,FERFOZ.cif
FICFON,FICFON.cif
FIQTIJ,FIQTIJ.cif
FIRLAU,FIRLAU.cif
FITZEO01,FITZEO01.cif
FIWFOH01,FIWFOH01.cif
FLUANA,FLUANA.cif
FOCJOZ,FOCJOZ.cif
FOHXUV,FOHXUV.cif
FOMWAF,FOMWAF.cif
FOQJIH,FOQJIH.cif
FORAMO01,FORAMO01.cif
FORMAC02,FORMAC02.cif
FORROU,FORROU.cif
FOXWEW,FOXWEW.cif
FUDTUV,FUDTUV.cif
FULPIM,FULPIM.cif
FUMRAM01,FUMRAM01.cif
FUNFEA,FUNFEA.cif
FURANE10,FURANE10.cif
FURDCB01,FURDCB01.cif
FUZNAQ,FUZNAQ.cif
FUZZAB,FUZZAB.cif
GADHAU,GADHAU.cif
GANBEF,GANBEF.cif
GAPPIY,GAPPIY.cif
GAXKAU,GAXKAU.cif
GEHSIW,GEHSIW.cif
GEMRIB,GEMRIB.cif
GETVEH,GETVEH.cif
GEYSEI,GEYSEI.cif
GIJBUX,GIJBUX.cif
GIKSUQ,GIKSUQ.cif
GISXEM,GISXEM.cif
GISZIS,GISZIS.cif
GOCPEW,GOCPEW.cif
GOFQEY,GOFQEY.cif
GOLCOB,GOLCOB.cif
GOLYAI,GOLYAI.cif
GOMCIU,GOMCIU.cif
GOQJUU,GOQJUU.cif
GOSJEG,GOSJEG.cif
GOTJUW,GOTJUW.cif
GOWPUG,GOWPUG.cif
GOZXIF,GOZXIF.cif
GUFJAS,GUFJAS.cif
GUFJIA,GUFJIA.cif
GUFMAV,GUFMAV.cif
GUJLAZ,GUJLAZ.cif
GUJZER,GUJZER.cif
GULDIB,GULDIB.cif
GUMFUS,GUMFUS.cif
GUNYIY,GUNYIY.cif
GUZKAQ,GUZKAQ.cif
HABVIQ,HABVIQ.cif
HACMUT,HACMUT.cif
HAKPIW,HAKPIW.cif
HCCYHD,HCCYHD.cif
HCCYHG02,HCCYHG02.cif
HCLBNZ13,HCLBNZ13.cif
HCLTRL,HCLTRL.cif
HCZCHP,HCZCHP.cif
HESDUE,HESDUE.cif
HESTUV,HESTUV.cif
HEVZAL,HEVZAL.cif
HEXANE01,HEXANE01.cif
HIFCIJ,HIFCIJ.cif
HIGKOY,HIGKOY.cif
HIHNIV,HIHNIV.cif
HIHNIV01,HIHNIV01.cif
HIMRIH,HIMRIH.cif
HOFHEQ,HOFHEQ.cif
HOJZUB,HOJZUB.cif
HOLTOS,HOLTOS.cif
HOMSAN,HOMSAN.cif
HTDZDX10,HTDZDX10.cif
HTIEPO,HTIEPO.cif
HUCDIU,HUCDIU.cif
HUGQOQ,HUGQOQ.cif
HXMTAM10,HXMTAM10.cif
HXQUIN14,HXQUIN14.cif
HYTHIO,HYTHIO.cif
IBUZIP,IBUZIP.cif
IDAHUR,IDAHUR.cif
IFESUH,IFESUH.cif
IFETAO,IFETAO.cif
IFETES,IFETES.cif
IFEVAQ,IFEVAQ.cif
IFOVOR,IFOVOR.cif
IFUWIR,IFUWIR.cif
IGAJIK,IGAJIK.cif
IGAMEK,IGAMEK.cif
IGINUI,IGINUI.cif
IHERES,IHERES.cif
IHULUS,IHULUS.cif
IJEPEU,IJEPEU.cif
IJESIC,IJESIC.cif
IJIYAD,IJIYAD.cif
IKAYEZ,IKAYEZ.cif
IKESIC,IKESIC.cif
IKIGEO,IKIGEO.cif
ILAMOZ,ILAMOZ.cif
ILAMUF,ILAMUF.cif
ILANAM,ILANAM.cif
IMAZOL06,IMAZOL06.cif
INIGEU,INIGEU.cif
IPAPEV,IPAPEV.cif
IPRNSO01,IPRNSO01.cif
IPUNEN,IPUNEN.cif
IPUVIA,IPUVIA.cif
ISNICA02,ISNICA02.cif
ITOBAU,ITOBAU.cif
IYIXUJ,IYIXUJ.cif
IYIYAQ,IYIYAQ.cif
JARDIQ,JARDIQ.cif
JEFTEU,JEFTEU.cif
JEGTUN,JEGTUN.cif
JEHYIF,JEHYIF.cif
JEVVEM,JEVVEM.cif
JEWBAP,JEWBAP.cif
JIHNOG,JIHNOG.cif
JIWWUK,JIWWUK.cif
JIYYAT,JIYYAT.cif
JOSLOU,JOSLOU.cif
JUBBIR,JUBBIR.cif
JUJPEL,JUJPEL.cif
KABJED,KABJED.cif
KADCIC,KADCIC.cif
KIMNAV,KIMNAV.cif
KONJIG,KONJIG.cif
KONJUS,KONJUS.cif
KONKAZ,KONKAZ.cif
KOZXIJ,KOZXIJ.cif
KUFVAI03,KUFVAI03.cif
KUGKIJ,KUGKIJ.cif
KUSJAL,KUSJAL.cif
KUSQOG,KUSQOG.cif
KUXPUP,KUXPUP.cif
KUXPUP01,KUXPUP01.cif
LAPLAR01,LAPLAR01.cif
LEJDAH,LEJDAH.cif
LEJDEL,LEJDEL.cif
LELVIK,LELVIK.cif
LEVMUU,LEVMUU.cif
LIDGAH,LIDGAH.cif
LIDGEL,LIDGEL.cif
LINRUV,LINRUV.cif
LIQJUS,LIQJUS.cif
LIQWEN,LIQWEN.cif
LIWFUT,LIWFUT.cif
LOJCOD,LOJCOD.cif
LOMWOZ,LOMWOZ.cif
LOTFAE,LOTFAE.cif
LUZXUA,LUZXUA.cif
MAJJOX,MAJJOX.cif
MAKQIZ,MAKQIZ.cif
MALEHY01,MALEHY01.cif
MALEHY11,MALEHY11.cif
MALEHY14,MALEHY14.cif
MALIAC12,MALIAC12.cif
MALIAC13,MALIAC13.cif
MCBENZ,MCBENZ.cif
MECHLF12,MECHLF12.cif
MEKMOF,MEKMOF.cif
MELAMI06,MELAMI06.cif
METHOL04,METHOL04.cif
MEWZIZ,MEWZIZ.cif
MEYCEY,MEYCEY.cif
MEYCIC,MEYCIC.cif
MEYNAF,MEYNAF.cif
MIFSID,MIFSID.cif
MINSUZ01,MINSUZ01.cif
MOCVEF,MOCVEF.cif
MONPEM,MONPEM.cif
MOVJAL,MOVJAL.cif
MOWDAG,MOWDAG.cif
MOWDIO,MOWDIO.cif
MPYDCY,MPYDCY.cif
MUCHUP,MUCHUP.cif
MUMSET,MUMSET.cif
NAFCUV,NAFCUV.cif
NAFDAC,NAFDAC.cif
NAPHTA31,NAPHTA31.cif
NAPOAC01,NAPOAC01.cif
NAPTYR11,NAPTYR11.cif
NEFMIW,NEFMIW.cif
NIFKIW,NIFKIW.cif
NMALAM01,NMALAM01.cif
NOCMEX,NOCMEX.cif
NOSNOY,NOSNOY.cif
NOTYAZ,NOTYAZ.cif
NOVSUP,NOVSUP.cif
NPDTOL02,NPDTOL02.cif
NUQGUD,NUQGUD.cif
OCAPUE,OCAPUE.cif
OCTANE10,OCTANE10.cif
ODUSEM,ODUSEM.cif
OLUCUT,OLUCUT.cif
OPAJIA,OPAJIA.cif
OVUKAS,OVUKAS.cif
PADQAN,PADQAN.cif
PAHPEV,PAHPEV.cif
PAWZAQ,PAWZAQ.cif
PECBII,PECBII.cif
PENTAN01,PENTAN01.cif
PERLEN06,PERLEN06.cif
PFBZAC,PFBZAC.cif
PHENAN08,PHENAN08.cif
PHENAZ04,PHENAZ04.cif
PHESAZ08,PHESAZ08.cif
PIRPEL,PIRPEL.cif
PIWXEY,PIWXEY.cif
PNCLBZ,PNCLBZ.cif
POTLEP,POTLEP.cif
POZYUB02,POZYUB02.cif
POZYUB04,POZYUB04.cif
PRMDIN01,PRMDIN01.cif
PTOXEC,PTOXEC.cif
PUHBIG,PUHBIG.cif
